table_name,column_name,datatype,size,MadatorYesESCheck
Product_RCB_Staging,AccountNumber,string,10000000,Yes
Product_RCB_Staging,CurrencyISOCode,string,10000000,Yes
Product_RCB_Staging,Customer,string,10000000,Yes
Product_RCB_Staging,Application,string,10000000,
Product_RCB_Staging,ExpiryRenewalDate,date,,Yes
Product_RCB_Staging,FacilityAmount,numeric,"38,9",Yes
Product_RCB_Staging,FacilityName,string,10000000,Yes
Product_RCB_Staging,FacilityNumber,string,10000000,Yes
Product_RCB_Staging,Duration,string,10000000,Yes
Product_RCB_Staging,Status,string,10000000,Yes
Product_RCB_Staging,FacilityTerm,int64,,Yes
Product_RCB_Staging,FrontBookBackBook,string,10000000,
Product_RCB_Staging,HardSoft,string,10000000,
Product_RCB_Staging,Heritage,string,10000000,
Product_RCB_Staging,IsLBCM,bool,,
Product_RCB_Staging,PrincipalBalance,numeric,"38,9",Yes
Product_RCB_Staging,Owner,string,10000000,
Product_RCB_Staging,PartiallyAmortisingLoanType,string,10000000,
Product_RCB_Staging,PreviouslySanctionedAmount,numeric,"38,9",
Product_RCB_Staging,Product,string,10000000,Yes
Product_RCB_Staging,ProductLine,string,10000000,Yes
Product_RCB_Staging,ProductTypeÂ ,string,10000000,Yes
Product_RCB_Staging,Sector,string,10000000,
Product_RCB_Staging,Security,string,10000000,
Product_RCB_Staging,SortCode,string,10000000,Yes
Product_RCB_Staging,Stage,string,10000000,Yes
Product_RCB_Staging,TradedNonTraded,string,10000000,
Product_RCB_Staging,PercentageSecured,numeric,"38,9",
Product_RCB_Staging,OverHalfOfSecurityLVFromLandProperty,bool,,
Product_RCB_Staging,ProductReference,string,10000000,Yes
Product_RCB_Staging,Id,string,10000000,
Product_RCB_Staging,CreatedDate,datetime,,
Product_RCB_Staging,CreatedBy,string,10000000,
Product_RCB_Staging,LastModifiedDate,datetime,,
Product_RCB_Staging,LastModifiedBy,string,10000000,
Product_RCB_Staging,ODType,string,10000000,
Product_RCB_Staging,Purpose,string,10000000,
Product_RCB_Staging,AmountPerEncashment,numeric,"38,9",
Product_RCB_Staging,BusinessChargeCardSanctionedLimit,numeric,"38,9",
Product_RCB_Staging,CardScheme,string,10000000,
Product_RCB_Staging,DateOfMarketsLinksAgreement,date,,
Product_RCB_Staging,DateOfMarketsLinksAgreementKnown,string,10000000,
Product_RCB_Staging,FormFactor,string,10000000,
Product_RCB_Staging,Frequency,string,10000000,
Product_RCB_Staging,IsDateOfTravelLinkAgreementKnown,string,10000000,
Product_RCB_Staging,DateOfTravelLinkAgreement,date,,
Product_RCB_Staging,MoneyOutExtractionIntended,string,10000000,
Product_RCB_Staging,MaxValueThroughOnlineBulkPayments,numeric,"38,9",
Product_RCB_Staging,RightOfWithdrawalConfirmed,string,10000000,
Product_RCB_Staging,SurroundedServices,string,10000000,
Product_RCB_Staging,ValueOfDailyOrder,numeric,"38,9",
Product_RCB_Staging,WhichLimitsApplyToTheFacility,string,10000000,
Product_RCB_Staging,MaxPeriodForEachFXContract,string,10000000,
Product_RCB_Staging,ApplyCRH,string,10000000,
Product_RCB_Staging,ApplyTrancheDrawdown,string,10000000,
Product_RCB_Staging,CCA,bool,,"(Was required, however ot foud i CM)"
Product_RCB_Staging,CleanGrowthFinancingInitiative,string,10000000,
Product_RCB_Staging,LoanRepaymentProfile,string,10000000,
Product_RCB_Staging,MinimumAmountPerDrawdown,numeric,"38,9",
Product_RCB_Staging,NumberOfMonthsInCRH,numeric,"38,9",
Product_RCB_Staging,NumberOfQuartersInCRH,numeric,"38,9",
Product_RCB_Staging,RepaymentFrequency,string,10000000,
Product_RCB_Staging,FinancedFeeCalculation,string,10000000,
Product_RCB_Staging,EligibleForCRH,string,10000000,
Product_RCB_Staging,EligibleForTrancheDrawdown,string,10000000,
Product_RCB_Staging,ExternalID,string,10000000,Yes
Product_RCB_Staging,SourceSystem,string,10000000,Yes
Product_RCB_Staging,BusinessDateOfExtract,date,,Yes
Product_RCB_Staging,CSPCreationDateTime,datetime,,
Product_RCB_Staging,CSPUpdateDateTime,datetime,,
