table_name,column_name,datatype,size,MadatorYESCheck
Product_ACS_staging,AccountNumber,string,50,YES
Product_ACS_staging,CurrencyISOCode,string,3,YES
Product_ACS_staging,Customer,string,50,YES
Product_ACS_staging,Application,string,50,YES
Product_ACS_staging,ExpiryRenewalDate,date,,YES
Product_ACS_staging,FacilityAmount,bignumeric,,YES
Product_ACS_staging,FacilityName,string,100,YES
Product_ACS_staging,FacilityNumber,string,50,
Product_ACS_staging,Duration,string,50,YES
Product_ACS_staging,Status,string,50,YES
Product_ACS_staging,FacilityTerm,int64,,YES
Product_ACS_staging,FrontBookBackBook,string,50,YES
Product_ACS_staging,HardSoft,string,50,YES
Product_ACS_staging,Heritage,string,50,YES
Product_ACS_staging,IsLBCM,bool,,YES
Product_ACS_staging,PrincipalBalance,bignumeric,,YES
Product_ACS_staging,Owner,string,50,YES
Product_ACS_staging,PartiallyAmortisingLoanType,string,50,YES
Product_ACS_staging,PreviouslySanctionedAmount,bignumeric,,YES
Product_ACS_staging,Product,string,50,YES
Product_ACS_staging,ProductLine,string,50,YES
Product_ACS_staging,ProductTypeÂ ,string,50,YES
Product_ACS_staging,Sector,string,50,YES
Product_ACS_staging,Security,string,50,YES
Product_ACS_staging,SortCode,string,50,YES
Product_ACS_staging,Stage,string,50,YES
Product_ACS_staging,TradedNonTraded,string,50,YES
Product_ACS_staging,PercentageSecured,bignumeric,,YES
Product_ACS_staging,OverHalfOfSecurityLVFromLandProperty,bool,,YES
Product_ACS_staging,ProductReference,string,50,YES
Product_ACS_staging,Id,string,50,YES
Product_ACS_staging,CreatedDate,string,50,YES
Product_ACS_staging,CreatedBy,datetime,,YES
Product_ACS_staging,LastModifiedDate,string,100,YES
Product_ACS_staging,LastModifiedBy,datetime,,YES
Product_ACS_staging,ODType,string,100,YES
Product_ACS_staging,Purpose,string,100,YES
Product_ACS_staging,Amountperencashment,string,100,YES
Product_ACS_staging,BusinessChargeCardSanctionedLimit,bignumeric,,YES
Product_ACS_staging,CardScheme,bignumeric,,YES
Product_ACS_staging,DateofMarketsLinksagreement,string,100,YES
Product_ACS_staging,DateoftheMarketsLinksagreementknown,date,,YES
Product_ACS_staging,FormFactor,string,100,YES
Product_ACS_staging,Frequency,string,100,YES
Product_ACS_staging,IsthedateoftheTravelLinkagreementknown,string,100,YES
Product_ACS_staging,DateofTravelLinkAgreement,string,100,YES
Product_ACS_staging,MoneyOutextractionintended,date,,YES
Product_ACS_staging,MaxvaluethroughOnlineBulkPayments,string,100,YES
Product_ACS_staging,Rightofwithdrawalconfirmed,bignumeric,,YES
Product_ACS_staging,SurroundedServices,string,100,YES
Product_ACS_staging,ValueofDailyorder,string,100,YES
Product_ACS_staging,Whichlimitsapplytothefacility,bignumeric,,YES
Product_ACS_staging,MaxPeriodforEachFXContract,string,100,YES
Product_ACS_staging,ApplyCRH,string,100,YES
Product_ACS_staging,ApplyTrancheDrawdown,string,100,YES
Product_ACS_staging,CCA,string,100,YES
Product_ACS_staging,CFGICleanGrowthFinancingInitiative,bool,,YES
Product_ACS_staging,LoanRepaymentProfile,string,100,YES
Product_ACS_staging,MinimumAmountPerDrawdown,string,100,YES
Product_ACS_staging,NumberofMonthsinCRH,bignumeric,,YES
Product_ACS_staging,NumberofQuartersinCRH,numeric,,YES
Product_ACS_staging,RepaymentFrequency,numeric,,YES
Product_ACS_staging,FinancedFeeCalculation,string,100,YES
Product_ACS_staging,EligibleforCRH,string,100,YES
Product_ACS_staging,EligibleforTrancheDrawdown,string,100,YES
Product_ACS_staging,ExternalID,string,100,YES
Product_ACS_staging,SourceSystem,string,10,
Product_ACS_staging,BusinessDateOfExtract,date,,
Product_ACS_staging,CreationDate,datetime,,
Product_ACS_staging,UpdateDateTime,datetime,,
rskcsp_ds_account_curated,CCS_Default_Comment__c,STRING,2000,
rskcsp_ds_account_curated,CCS_Default_Grade__c,STRING,255,
rskcsp_ds_account_curated,CCS_Default_Status__c,STRING,255,
rskcsp_ds_account_curated,CCS_Domicile__c,STRING,255,
rskcsp_ds_account_curated,CCS_Expiry_Date__c,STRING,255,
rskcsp_ds_account_curated,CCS_Legal_Jurisdiction__c,STRING,255,
rskcsp_ds_account_curated,Migration_ID__c,STRING,18,
rskcsp_ds_account_curated,Ownership,STRING,255,
rskcsp_ds_account_curated,CCS_Reason_for_Default__c,STRING,255,
rskcsp_ds_account_curated,CCS_Chat_with_RM__c,STRING,1300,
rskcsp_ds_account_curated,CCS_Monthly_Loan_Repayment_Limit__c,DECIMAL,5,0
rskcsp_ds_account_curated,CCS_Available_Overdraft__c,DECIMAL,7,0
rskcsp_ds_account_curated,CCS_IRDC_Rating__c,DECIMAL,2,0
rskcsp_ds_account_curated,CCS_Final_Slotted_IRDC_Rating__c,DECIMAL,2,0
rskcsp_ds_account_curated,CCS_Reason_Codes__c,#N/A,4099,
rskcsp_ds_account_curated,Source_of_Customer_Comments__c,STRING,32768,
rskcsp_ds_account_curated,CCS_Average_BDCS_Rating__c,DECIMAL,4,2
rskcsp_ds_account_curated,Environmental_Social_Comments__c,STRING,32768,
rskcsp_ds_account_curated,CCS_Basel_Default__c,BOOL,,
rskcsp_ds_account_curated,CCS_BDCS_Default_Flag__c,BOOL,,
rskcsp_ds_account_curated,CCS_CogLeid__c,DECIMAL,18,0
rskcsp_ds_account_curated,CCS_Customer_Generated_To_last_12_months__c,DECIMAL,16,0
rskcsp_ds_account_curated,CCS_Date_of_Cure__c,DATE,,
rskcsp_ds_account_curated,CCS_Date_of_Default__c,DATE,,
rskcsp_ds_account_curated,CCS_Default_Grade_Rating_Value__c,DECIMAL,18,2
rskcsp_ds_account_curated,CCS_Has_Date_of_Default_been_populated__c,BOOL,,
rskcsp_ds_account_curated,CCS_IRDC_Default_Flag__c,BOOL,,
rskcsp_ds_account_curated,CCS_Is_Basel_default_true__c,BOOL,,
rskcsp_ds_account_curated,CCS_Is_Checked__c,BOOL,,
rskcsp_ds_account_curated,LLC_BI__Is_Non_Customer__c,BOOL,,
rskcsp_ds_account_curated,CCS_Is_ORG_Lead__c,BOOL,,
rskcsp_ds_account_curated,LLC_BI__Next_Review_Date__c,DATE,,
rskcsp_ds_account_curated,BillingAddress,#N/A,,
rskcsp_ds_account_curated,ShippingAddress,#N/A,,
rskcsp_ds_account_curated,LLC_BI__Third_Party__c,#N/A,4099,
rskcsp_ds_account_curated,CCS_Total_Lending_Value_Amount__c,BIGDECIMAL,,
rskcsp_ds_account_curated,CCS_Total_Gross_Value_Amount__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,Id,STRING,18,
rskcsp_ds_connection_curated,CreatedDate,DATETIME,,
rskcsp_ds_connection_curated,CreatedById,STRING,18,
rskcsp_ds_connection_curated,LastModifiedDate,DATETIME,,
rskcsp_ds_connection_curated,LastModifiedById,STRING,18,
rskcsp_ds_connection_curated,CurrencyIsoCode,STRING,3,
rskcsp_ds_connection_curated,CCS_Relationship_Name__c,STRING,1300,
rskcsp_ds_connection_curated,LLC_BI__Connected_To__c,STRING,18,
rskcsp_ds_connection_curated,LLC_BI__Ownership_Percent__c,DECIMAL,,
rskcsp_ds_connection_curated,CCS_Roles__c,STRING,255,
rskcsp_ds_connection_curated,CCS_is_Key_Account_Party__c,BOOL,,
rskcsp_ds_connection_curated,CCS_is_Signatory__c,BOOL,,
rskcsp_ds_connection_curated,CCS_KYC_Status__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Support_Needed__c,BOOL,,
rskcsp_ds_connection_curated,CCS_Current_Hard_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,CCS_Current_Soft_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,CCS_Is_ORG_Lead__c,BOOL,,
rskcsp_ds_connection_curated,CCS_Is_part_of_ORG__c,BOOL,,
rskcsp_ds_connection_curated,CCS_ORG_Lead__c,STRING,18,
rskcsp_ds_connection_curated,CCS_ORG_Lead_Name__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Record_Type__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Relationship_in_an_OGSA__c,BOOL,,
rskcsp_ds_connection_curated,CCS_RFI_Flag__c,BOOL,,
rskcsp_ds_connection_curated,CCS_RelationshipToFormula__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Risk_Rating__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Support_Indicator__c,STRING,1300,
rskcsp_ds_connection_curated,CCS_Total_Current_Bank_Limits__c,BIGDECIMAL,,
rskcsp_ds_connection_curated,LLC_BI__Certifying_Individual__c,BOOL,,
rskcsp_ds_connection_curated,LLC_BI__Connected_From__c,STRING,18,
rskcsp_ds_connection_curated,LLC_BI__Connection_Role__c,STRING,18,
rskcsp_ds_connection_curated,LLC_BI__Controlling_Individual__c,STRING,255,
rskcsp_ds_connection_curated,LLC_BI__Description__c,STRING,255,
rskcsp_ds_connection_curated,LLC_BI__Indirect_Ownership_Percent__c,DECIMAL,,
rskcsp_ds_connection_curated,LLC_BI__Is_Active__c,BOOL,,
rskcsp_ds_connection_curated,LLC_BI__Official_Title__c,STRING,80,
rskcsp_ds_connection_curated,LLC_BI__Status__c,STRING,1300,
rskcsp_ds_connection_curated,LLC_BI__Total_Direct_Indirect_Ownership_Percent__c,DECIMAL,,
rskcsp_ds_connection_curated,LLC_BI__Type__c,STRING,1300,
rskcsp_ds_connection_curated,LLC_BI__UID__c,STRING,54,
rskcsp_ds_connection_curated,name,STRING,80,
